-50.35 -19.89 1.20
-44.63 -21.28 6.00
-48.16 -20.25 7.70
-49.95 -21.60 6.40
-45.04 -21.14 4.90
-46.32 -20.67 4.60
-49.18 -20.30 2.40
-45.67 -21.59 5.60
-48.18 -21.02 1.20
-45.49 -21.61 4.20
-48.55 -20.00 8.80
-51.65 -26.00 3.80
-52.00 -25.78 2.10
-53.48 -25.53 1.50
-51.74 -25.49 0.60
-51.08 -26.23 2.80
-53.74 -24.19 0.90
-54.56 -22.97 0.50
-54.58 -25.42 0.40
-53.53 -22.38 0.10
-53.17 -23.18 0.90
-48.54 -17.99 7.80
-48.67 -16.15 4.50
-47.98 -18.45 12.70
-49.10 -18.42 7.40
-47.70 -19.13 12.70
-50.16 -18.07 4.60
-47.68 -18.05 11.90
-50.50 -19.02 3.00
-50.52 -22.94 1.00
-51.33 -22.65 0.30
-49.73 -23.01 0.30
-49.23 -23.22 0.20
-50.71 -24.06 2.30
-52.87 -22.50 0.10
-47.33 -16.21 7.90
-44.76 -18.95 9.50
-44.86 -15.93 16.30
-45.07 -16.37 14.00
-45.27 -18.16 15.00
-43.83 -11.35 8.80
-48.55 -22.52 0.10
-46.91 -23.46 0.10
-48.99 -21.76 0.50
-50.20 -21.12 0.00
-48.30 -13.40 5.50
-51.20 -27.78 7.00
-51.33 -27.60 3.30
-53.04 -27.14 0.90
-52.38 -27.27 1.80
-51.78 -27.52 0.70
-52.73 -27.35 0.60
-52.54 -26.66 3.50
-55.05 -28.14 0.30
