-50.35 -19.89 7.00
-44.63 -21.28 15.90
-48.16 -20.25 12.60
-49.95 -21.60 15.80
-45.04 -21.14 15.10
-46.32 -20.67 9.50
-49.18 -20.30 12.00
-45.67 -21.59 12.70
-48.18 -21.02 17.80
-45.49 -21.61 13.10
-48.55 -20.00 10.80
-51.65 -26.00 9.70
-52.00 -25.78 6.50
-53.48 -25.53 8.30
-51.74 -25.49 16.20
-51.08 -26.23 6.50
-53.74 -24.19 9.80
-54.56 -22.97 6.80
-54.58 -25.42 8.30
-53.53 -22.38 5.20
-53.17 -23.18 15.30
-48.54 -17.99 3.90
-48.67 -16.15 2.40
-47.98 -18.45 7.70
-49.10 -18.42 6.80
-47.70 -19.13 8.40
-50.16 -18.07 6.90
-47.68 -18.05 2.10
-50.50 -19.02 5.50
-50.52 -22.94 9.90
-51.33 -22.65 17.30
-49.73 -23.01 17.20
-49.23 -23.22 16.30
-50.71 -24.06 22.10
-52.87 -22.50 11.00
-47.33 -16.21 2.00
-44.76 -18.95 16.20
-44.86 -15.93 2.70
-45.07 -16.37 4.60
-45.27 -18.16 9.90
-43.83 -11.35 3.20
-48.55 -22.52 15.80
-46.91 -23.46 19.30
-48.99 -21.76 12.20
-50.20 -21.12 10.50
-48.30 -13.40 2.30
-51.20 -27.78 2.70
-51.33 -27.60 2.20
-53.04 -27.14 1.20
-52.38 -27.27 2.40
-51.78 -27.52 0.80
-52.73 -27.35 0.50
-52.54 -26.66 3.30
-55.05 -28.14 1.00
